Port landed,Week beginning,Species name,Live Weight (KG),Landed Weight (KG),Value in pounds,Year,WeekNumber
Burray,14/12/2008,Crabs (C.P.Mixed Sexes),590,590,700.04,2008,51
Burray,14/12/2008,Crabs - Velvet (Swim),411,411,960.03,2008,51
Burray,14/12/2008,Green Crab,395,395,211.89,2008,51
Burray,14/12/2008,Lobsters,82.4,82.4,1002.12,2008,51
Burray,21/12/2008,Crabs (C.P.Mixed Sexes),561,561,750.09,2008,52
Burray,21/12/2008,Crabs - Velvet (Swim),333,333,1318.95,2008,52
Burray,21/12/2008,Green Crab,365,365,182.5,2008,52
Burray,21/12/2008,Lobsters,130.6,130.6,1881.63,2008,52
Burray,21/12/2008,Scallops,43.5,43.5,160.95,2008,52
Burray,28/12/2008,Crabs (C.P.Mixed Sexes),561,561,681.04,2008,53
Burray,28/12/2008,Crabs - Velvet (Swim),282,282,644.02,2008,53
Burray,28/12/2008,Green Crab,65,65,38,2008,53
Burray,28/12/2008,Lobsters,110.3,110.3,1611.89,2008,53
Burray,28/12/2008,Periwinkles,4529,4529,8192.81,2008,53
Burray,28/12/2008,Scallops,192.5,192.5,361.38,2008,53
Hoy,16/01/2000,Crabs (C.P.Mixed Sexes),2567,2567,2425.15,2000,4
Hoy,16/01/2000,Crabs - Velvet (Swim),2587,2587,3223.01,2000,4
Hoy,16/01/2000,Green Crab,3578,3578,1789,2000,4
Hoy,16/01/2000,Lobsters,105.9,105.9,1641.45,2000,4
Hoy,16/01/2000,Whelks,673,673,208.63,2000,4
Hoy,20/02/2000,Crabs (C.P.Mixed Sexes),5115,5115,4473.2,2000,9
Hoy,20/02/2000,Crabs - Velvet (Swim),1813.1,1813.1,2365.11,2000,9
Hoy,20/02/2000,Green Crab,3952,3952,1935,2000,9
Hoy,20/02/2000,Lobsters,90.2,90.2,1217.7,2000,9
Hoy,20/02/2000,Whelks,1830,1830,567.3,2000,9
Hoy,19/03/2000,Cod,343,293.3,378.27,2000,13
Hoy,19/03/2000,Crabs (C.P.Mixed Sexes),6154,6154,5131.6,2000,13
Hoy,19/03/2000,Crabs - Velvet (Swim),2085,2085,3517.3,2000,13
Hoy,19/03/2000,Green Crab,2681,2681,1340.5,2000,13
Hoy,19/03/2000,Haddock,19929.1,17180,17530.9,2000,13
Hoy,19/03/2000,Hake,365.3,315,525,2000,13
Hoy,19/03/2000,Lemon Sole,79.6,76.5,108,2000,13
Hoy,19/03/2000,Ling,674.4,586.5,531,2000,13
Hoy,19/03/2000,Lobsters,211.1,211.1,2868.85,2000,13
Hoy,19/03/2000,Megrim,1630.2,1552.5,1374.74,2000,13
Hoy,19/03/2000,Monks or Anglers,1751.1,1368,3576,2000,13
Hoy,19/03/2000,Other or mixed Demersal,58.2,50.8,47,2000,13
Hoy,19/03/2000,Plaice,177.3,165.9,97.5,2000,13
Hoy,19/03/2000,Pollack,45.7,40.1,60,2000,13
Hoy,19/03/2000,Saithe,1243.4,1045,451.02,2000,13
